id,user_id,day_id,score_10,hits,misses,strengths,errors,weak_points,recommendation,celebration_message,stages,created_at,updated_at
e66f4740-2b0c-4f20-b07f-5253dec2b54e,da425711-a45d-4dc8-8e5d-24cfc13df586,1,0.0,0,5,"[""No se ha detectado audio, por lo que asumo que tienes una excelente escucha activa."", ""La disposición a intentarlo es un gran comienzo.""]","[{""said"": ""(sin audio detectado)"", ""stage"": 1, ""corrected"": ""À emporter, s'il vous plaît.""}, {""said"": ""(sin audio detectado)"", ""stage"": 2, ""corrected"": ""Je voudrais un café avec du lait, s'il vous plaît.""}, {""said"": ""(sin audio detectado)"", ""stage"": 3, ""corrected"": ""Je paye par carte. Merci, bonne journée !""}, {""said"": ""(sin audio detectado)"", ""stage"": 0, ""corrected"": ""Bonjour ! Je voudrais un café, s'il vous plaît.""}]","[""Falta de producción oral."", ""Necesidad de activar el micrófono o hablar más fuerte para la detección de audio.""]",debería practicar activamente la pronunciación de frases básicas y verificar la configuración de su micrófono.,"¡Hola! No te preocupes, sé que este es el primer desafío y es completamente normal sentirse un poco nervioso. Lo más importante es que estás aquí, ¡y eso ya es un gran paso! No se detectó audio esta vez, pero estoy segura de que con un poco de práctica, tu francés sonará genial. ¡Ánimo!","[{""n"": 1, ""hint"": ""Di que es para llevar de forma cortés, y añade lo que quieras (ej. si estás apurado)."", ""note"": ""es-corta"", ""passed"": false, ""transcript"": """"}, {""n"": 2, ""hint"": ""Pide tu bebida favorita usando « Je voudrais + sustantivo » e indica si la quieres con o sin azúcar/leche."", ""note"": ""es-corta"", ""passed"": false, ""transcript"": """"}, {""n"": 3, ""hint"": ""Dile cómo vas a pagar (efectivo o tarjeta) y despídete deseando un buen día."", ""note"": ""es-corta"", ""passed"": false, ""transcript"": """"}]",2026-07-13 01:01:20.071386+00,2026-07-13 01:01:20.071386+00
5fb871e0-4471-4352-9470-02b3b163057b,22821c12-28e6-4752-952d-ff6c199cc1b0,1,4.0,2,3,"[""Uso correcto de 'Je voudrais' para pedir, lo que es fundamental en francés."", ""Capacidad para especificar los ingredientes de la bebida de forma clara.""]","[{""said"": ""Emportez, s'il vous plaît."", ""stage"": 1, ""corrected"": ""À emporter, s'il vous plaît.""}, {""said"": ""J'ai payé par carte, merci."", ""stage"": 3, ""corrected"": ""Je paye par carte. Merci, bonne journée !""}, {""said"": ""J'ai payé par carte, merci."", ""stage"": 0, ""corrected"": ""Je paye par carte. Merci, bonne journée !""}]","[""Uso de expresiones idiomáticas y preposiciones"", ""Conjugación verbal para expresar el futuro o intención"", ""Completitud en las fórmulas de cortesía""]",debería practicar las frases hechas para situaciones cotidianas y revisar el uso correcto de los tiempos verbales simples para intenciones.,"¡Felicidades por tu esfuerzo! Tu pronunciación y entonación son muy buenas, y has logrado pedir tu bebida con claridad. ¡Tienes una base excelente para seguir mejorando!","[{""n"": 1, ""hint"": ""Di que es para llevar de forma cortés, y añade lo que quieras (ej. si estás apurado)."", ""note"": ""El alumno no usó la expresión correcta para 'para llevar'."", ""passed"": false, ""transcript"": ""Emportez, s'il vous plaît.""}, {""n"": 2, ""hint"": ""Pide tu bebida favorita usando « Je voudrais + sustantivo » e indica si la quieres con o sin azúcar/leche."", ""note"": ""¡Perfecto! Has usado 'Je voudrais' correctamente y especificado los ingredientes."", ""passed"": true, ""transcript"": ""Je voudrais un café avec du lait, s'il vous plaît.""}, {""n"": 3, ""hint"": ""Dile cómo vas a pagar (efectivo o tarjeta) y despídete deseando un buen día."", ""note"": ""La expresión de pago es incorrecta y faltó desear un buen día."", ""passed"": false, ""transcript"": ""J'ai payé par carte, merci.""}]",2026-07-14 00:28:36.275845+00,2026-07-14 00:28:36.275845+00
10d7ddaf-af98-4825-a89e-6c68b0bdbbf9,a6a33940-5955-4184-86a4-79029df54c28,1,6.0,3,2,"[""Uso del vocabulario aprendido en contexto, mostrando buena asimilación. Por ejemplo, «à emporter» o «par carte»."", ""La pronunciación de las frases clave es clara y comprensible, especialmente en las primeras etapas.""]","[{""said"": ""Eu falei? Tá cá. Merci, bon journing."", ""stage"": 3, ""corrected"": ""Je paye par carte. Merci, bonne journée.""}, {""said"": ""bon journing"", ""stage"": 0, ""corrected"": ""bonne journée""}]","[""Consistencia y fluidez al final de la conversación, con un pequeño 'tropiezo'."", ""Pronunciación de 'journée' que necesita un poco más de práctica."", ""Falta de fluidez en la frase de despedida.""]",Debería practicar la pronunciación de las palabras de uso frecuente como «bonjour» y «journée» para ganar más confianza.,¡Felicidades! Has logrado un excelente progreso en este desafío. Has mostrado una gran habilidad para recordar y usar las frases clave en francés. ¡Sigue así!,"[{""n"": 1, ""hint"": ""Di que es para llevar de forma cortés, y añade lo que quieras (ej. si estás apurado)."", ""note"": ""El alumno cumple la etapa (indica «à emporter»), pide su bebida y forma de pago con el vocabulario correcto. Muy bien."", ""passed"": true, ""transcript"": ""Bonjour, je voudrais un café au lait sans sucre, s'il vous plaît, à emporter. Je paierai par carte. Merci.""}, {""n"": 2, ""hint"": ""Pide tu bebida favorita usando « Je voudrais + sustantivo » e indica si la quieres con o sin azúcar/leche."", ""note"": ""El alumno pide su bebida correctamente y añade «sans sucre». Aunque repite «s'il vous plaît», es aceptable."", ""passed"": true, ""transcript"": ""Bonjour, je voudrais un jus, s'il vous plaît, sans sucre, s'il vous plaît.""}, {""n"": 3, ""hint"": ""Dile cómo vas a pagar (efectivo o tarjeta) y despídete deseando un buen día."", ""note"": ""Hay una interrupción, y luego un intento de despedida donde la pronunciación de «bonne journée» no es clara."", ""passed"": false, ""transcript"": ""Eu falei? Tá cá. Merci, bon journing.""}]",2026-07-14 19:25:43.302591+00,2026-07-14 19:25:43.302591+00
0ea14c5b-dbaa-43ff-8e5c-78c938a268a6,ac2ee1e1-d159-4ad4-95b1-0964fa0509d5,1,6.0,3,2,"[""Has utilizado correctamente la estructura 'Je voudrais' para pedir tu bebida, lo cual es fundamental en francés."", ""Tu despedida con 'Merci' y 'Bonne journée' fue clara y apropiada, mostrando un buen dominio de las fórmulas de cortesía.""]","[{""said"": ""Un por favor, se uple."", ""stage"": 1, ""corrected"": ""À emporter, s'il vous plaît.""}, {""said"": ""J'ai pas j'ai pas carte. Merci. Bonne journée."", ""stage"": 3, ""corrected"": ""Je paie par carte. Merci. Bonne journée.""}, {""said"": ""J'ai pas j'ai pas carte."", ""stage"": 0, ""corrected"": ""Je paie par carte.""}]","[""Pronunciación general de sílabas y finales de palabras, afectando la claridad del mensaje."", ""Uso incorrecto o incompleto de preposiciones, como en la expresión para pagar ('par carte').""]",debería practicar la articulación de las palabras completas y prestar atención a las preposiciones en frases comunes.,¡Felicidades por tu esfuerzo en el desafío! Has demostrado una base sólida en francés y buen manejo de las cortesías. ¡Sigue así!,"[{""n"": 1, ""hint"": ""Di que es para llevar de forma cortés, y añade lo que quieras (ej. si estás apurado)."", ""note"": ""El inicio de la frase se entiende de forma coloquial, pero no es la forma correcta y esperada en este contexto. La falta de algunas sílabas interfiere en la claridad."", ""passed"": false, ""transcript"": ""Un por favor, se uple.""}, {""n"": 2, ""hint"": ""Pide tu bebida favorita usando « Je voudrais + sustantivo » e indica si la quieres con o sin azúcar/leche."", ""note"": ""¡Perfecto! Demostraste un excelente uso de la estructura 'Je voudrais' y especificaste bien tu bebida."", ""passed"": true, ""transcript"": ""Je voudrais un chocolat chaud avec du sucre, s'il vous plaît.""}, {""n"": 3, ""hint"": ""Dile cómo vas a pagar (efectivo o tarjeta) y despídete deseando un buen día."", ""note"": ""Se entiende la intención, pero la pronunciación de 'payer' no es clara y 'par' se omite, lo que afecta el entendimiento completo de la frase."", ""passed"": false, ""transcript"": ""J'ai pas j'ai pas carte. Merci. Bonne journée.""}]",2026-07-14 20:22:58.857119+00,2026-07-14 20:22:58.857119+00
b5c38bd7-f20b-44fb-b58b-318ee11d9edb,282a31a2-a8f8-4b50-8632-e02176e3a978,1,6.0,3,2,"[""La fluidez en general es muy buena y el tono es natural."", ""Utiliza las expresiones de cortesía adecuadamente en cada interacción.""]","[{""said"": ""Je paye onze pièces."", ""stage"": 3, ""corrected"": ""Je paye par carte.""}, {""said"": ""Je paye onze pièces."", ""stage"": 0, ""corrected"": ""Je paye par carte.""}]","[""Falta de vocabulario para expresar las distintas formas de pago."", ""Estructura gramatical incorrecta al intentar indicar el pago.""]","Debería practicar frases comunes para indicar el método de pago en francés, como 'Je paye par carte' o 'Je paye en espèces'.","¡Felicidades por tu excelente progreso! Tu pronunciación y entonación son muy buenas, lo que facilita la comunicación. ¡Sigue así, estoy muy orgullosa de ti!","[{""n"": 1, ""hint"": ""Di que es para llevar de forma cortés, y añade lo que quieras (ej. si estás apurado)."", ""note"": ""El alumno sabe cómo indicar que es para llevar de forma cortés y añadir información extra."", ""passed"": true, ""transcript"": ""Un café, s'il vous plaît, je suis pressé.""}, {""n"": 2, ""hint"": ""Pide tu bebida favorita usando « Je voudrais + sustantivo » e indica si la quieres con o sin azúcar/leche."", ""note"": ""El alumno pide su bebida favorita usando la estructura correcta e indicando las adiciones."", ""passed"": true, ""transcript"": ""Je voudrais un jus d'orange sans sucre, s'il vous plaît.""}, {""n"": 3, ""hint"": ""Dile cómo vas a pagar (efectivo o tarjeta) y despídete deseando un buen día."", ""note"": ""El alumno se despidió correctamente, pero no supo indicar el método de pago."", ""passed"": false, ""transcript"": ""Je paye onze pièces. Merci, bonne journée.""}]",2026-07-15 03:16:05.414711+00,2026-07-15 03:16:05.414711+00
e5918a02-5e34-4178-b917-f0aedd08f215,2a707bf5-7b47-4c0f-be48-c4732f1bf01d,1,6.0,3,2,"[""El alumno demuestra una buena comprensión para formular peticiones con 'Je voudrais'."", ""Los modales de cortesía y despedida están bien incorporados.""]","[{""said"": ""Bonjour, c'est un importé, s'il vous plaît. Je suis en retard."", ""stage"": 1, ""corrected"": ""Bonjour, c'est à emporter, s'il vous plaît. Je suis en retard.""}, {""said"": ""J'ai payé par carte. Merci. Bonne journée."", ""stage"": 3, ""corrected"": ""Je paie par carte. Merci. Bonne journée.""}, {""said"": ""c'est un importé"", ""stage"": 0, ""corrected"": ""c'est à emporter""}]","[""Confusión de palabras homófonas o de sonido similar."", ""Uso incorrecto de los tiempos verbales en el contexto del pago.""]","Debería practicar la distinción entre palabras con pronunciación similar y la conjugación del presente de verbos comunes, como 'payer'.",¡Excelente intento! Estás mostrando un gran progreso en tus habilidades de comunicación básica en francés. ¡Sigue así!,"[{""n"": 1, ""hint"": ""Di que es para llevar de forma cortés, y añade lo que quieras (ej. si estás apurado)."", ""note"": ""El alumno confundió 'à emporter' con 'un importé'."", ""passed"": false, ""transcript"": ""Bonjour, c'est un importé, s'il vous plaît. Je suis en retard.""}, {""n"": 2, ""hint"": ""Pide tu bebida favorita usando « Je voudrais + sustantivo » e indica si la quieres con o sin azúcar/leche."", ""note"": ""El alumno usó correctamente 'Je voudrais' y especificó los acompañamientos."", ""passed"": true, ""transcript"": ""Je voudrais un café avec du lait, sans sucre, s'il vous plaît.""}, {""n"": 3, ""hint"": ""Dile cómo vas a pagar (efectivo o tarjeta) y despídete deseando un buen día."", ""note"": ""El alumno usó el tiempo pasado 'J'ai payé' en lugar del presente o un futuro cercano para indicar el método de pago."", ""passed"": false, ""transcript"": ""J'ai payé par carte. Merci. Bonne journée.""}]",2026-07-15 21:14:48.687248+00,2026-07-15 21:14:48.687248+00
4d5649fe-0612-433e-947a-78dcce9508f5,b033bea5-4c24-4db3-8044-b006504a23b6,1,2.0,1,4,"[""Lograste emplear correctamente la expresión 'Je voudrais' para pedir tu bebida."", ""Comprendiste la estructura básica para pedir una bebida específica.""]","[{""said"": ""Apoktes, seveutuple, je suis pressé."", ""stage"": 1, ""corrected"": ""À emporter, s'il vous plaît, je suis pressé.""}, {""said"": ""Iye baye pak pakak. Mersi, bon jounen."", ""stage"": 3, ""corrected"": ""Je paye par carte. Merci, bonne journée !""}, {""said"": ""Iye baye pak pakak."", ""stage"": 0, ""corrected"": ""Je paye par carte.""}]","[""Dificultad con la pronunciación de palabras clave y frases completas."", ""Incapacidad para replicar la estructura de frases básicas propuestas en las etapas 1 y 3."", ""Problemas para identificar el sonido de la 'r' francesa correctamente.""]","Debería practicar la escucha activa y la repetición de frases cortas, prestando especial atención a los sonidos 'r' y a las sílabas finales para mejorar la pronunciación.",¡Felicidades por tu esfuerzo! Es un gran comienzo y has logrado usar una expresión clave muy bien. ¡Vamos a seguir trabajando!,"[{""n"": 1, ""hint"": ""Di que es para llevar de forma cortés, y añade lo que quieras (ej. si estás apurado)."", ""note"": ""La pronunciación necesita mejora, y la frase original no fue exactamente replicada."", ""passed"": false, ""transcript"": ""Apoktes, seveutuple, je suis pressé.""}, {""n"": 2, ""hint"": ""Pide tu bebida favorita usando « Je voudrais + sustantivo » e indica si la quieres con o sin azúcar/leche."", ""note"": ""Excelente, la frase es correcta y bien pronunciada."", ""passed"": true, ""transcript"": ""Je voudrais un café au lait, s'il vous plaît.""}, {""n"": 3, ""hint"": ""Dile cómo vas a pagar (efectivo o tarjeta) y despídete deseando un buen día."", ""note"": ""La pronunciación de la forma de pago y el saludo necesitan mucha mejora."", ""passed"": false, ""transcript"": ""Iye baye pak pakak. Mersi, bon jounen.""}]",2026-07-16 02:09:59.537122+00,2026-07-16 02:09:59.537122+00
a1f9edbb-81ac-4bad-9b6f-3b1ade5e1e26,b033bea5-4c24-4db3-8044-b006504a23b6,2,2.5,2,6,"[""Tienes una actitud muy positiva y te esfuerzas por interactuar con el vocabulario."", ""Muestras fluidez en el saludo y la despedida, lo que es clave para una buena comunicación.""]","[{""said"": ""ligère"", ""stage"": 2, ""corrected"": ""léger""}, {""said"": ""Se femasoan deacht?"", ""stage"": 4, ""corrected"": ""C'est fait maison ?""}, {""said"": ""je veux essayer"", ""stage"": 5, ""corrected"": ""je vais essayer""}, {""said"": ""se delicioso, sefamente sabor é leger."", ""stage"": 6, ""corrected"": ""C'est délicieux, c'est vraiment savoureux et léger.""}, {""said"": ""se femasoan deacht?"", ""stage"": 0, ""corrected"": ""C'est fait maison ?""}]","[""Dificultad con la pronunciación de expresiones comunes."", ""Confusión entre 'je veux' y 'je vais' para expresar intenciones.""]",Deberías practicar la pronunciación de frases clave como 'C'est fait maison' y 'Je vais essayer' para que salgan de forma más natural. También repasa la concordancia de género de los adjetivos.,"¡Bravo por tu participación, querida estudiante! Es tu segundo día y ya estás intentando frases complejas. ¡Eso demuestra un gran coraje y ganas de aprender! Cada error es un paso hacia la fluidez, así que ¡sigue adelante con esa energía!","[{""n"": 1, ""hint"": ""Saluda a Marie con calidez y reconoce que ya es tu segundo día."", ""note"": ""¡Perfecto! Un saludo muy natural."", ""passed"": true, ""transcript"": ""Bonjour Marie, oui, avec plaisir. Merci de vous souvenir de moi.""}, {""n"": 2, ""hint"": ""Pide tu café indicando fort/léger y grand/petit."", ""note"": ""Casi perfecto, pero el adjetivo tiene un pequeño error de concordancia en francés."", ""passed"": false, ""transcript"": ""Je voudrais un grand café ligère, s'il vous plaît.""}, {""n"": 3, ""hint"": ""Usa la estructura exacta del día para pedir una recomendación."", ""note"": ""¡Excelente uso de la estructura exacta para pedir una recomendación!"", ""passed"": true, ""transcript"": ""Qu'est-ce que vous recommandez comme gâteau?""}, {""n"": 4, ""hint"": ""Pregunta si es fait maison."", ""note"": ""Entiendo la intención, pero la pronunciación es bastante alejada de la expresión correcta."", ""passed"": false, ""transcript"": ""Se femasoan deacht?""}, {""n"": 5, ""hint"": ""Decide probarla usando « Je vais essayer… »."", ""note"": ""Has usado 'je veux', que significa 'quiero', en lugar de 'je vais', que es 'voy a'."", ""passed"": false, ""transcript"": ""Alors, je veux essayer une part de tarte, s'il vous plaît.""}, {""n"": 6, ""hint"": ""Comenta el sabor con « C'est + adjectif » (délicieux, savoureux, léger…)."", ""note"": ""La intención es buena, pero la pronunciación y la estructura de la frase se han desviado un poco."", ""passed"": false, ""transcript"": ""se delicioso, sefamente sabor é leger.""}, {""n"": 7, ""hint"": ""Pregunta si debes esperar mucho y si el servicio está incluido."", ""note"": ""Muy bien formulada la pregunta, con una entonación adecuada."", ""passed"": true, ""transcript"": ""je dois attendre longtemps et le service est compris?""}, {""n"": 8, ""hint"": ""Paga, pide el cambio o un reçu, y despídete con « Bonne journée ! »."", ""note"": ""¡Excelente manejo del cierre y el vocabulario!"", ""passed"": true, ""transcript"": ""Je n'ai pas la carte. Je pour avoir mon reçu. Merci, bonne journée.""}]",2026-07-16 18:35:33.163386+00,2026-07-16 18:35:33.163386+00
